FMO1 SEC22B
ANTXR2 COL4A2
ANTXR2 LRP6
ANTXR2 ANTXR2
USP54 ATN1
USP54 TNS2
USP54 SHC3
USP54 RHOBTB3
USP54 DOK6
USP54 FBXO17
USP54 FNDC3B
USP54 MID2
USP54 PRDM6
USP54 PCSK5
ABI2 UBC
ABI2 ABL1
ABI2 VCL
ABI2 AKAP9
ABI2 WASF1
ABI2 TRIP6
ABI2 ENAH
ABI2 ABI2
ABI2 EFS
ABI2 PRR16
ABI2 CCDC102B
ABI2 WASF3
ABI2 NHSL2
ABI2 MEOX2
ABI2 PRDM6
ABI2 FHL5
ABI2 SORBS3
ABI2 NFASC
ABI2 ZNF474
ABI2 MYOZ3
ABI2 ABLIM3
ABI2 TPM2
LAMA4 ITGAV
LAMA4 PTN
LAMA4 EEF1A1P5
TSHZ2 GIGYF1
TSHZ2 MCC
FGF7 FGFR1
FGF7 COL1A1
FGF7 NRP1
FGF7 HSPG2
FGF7 FGFR4
FGF7 COL6A1
FGF7 COL3A1
ZNF135 CDKN1A
ZNF135 GADD45A
MACF1 JUN
MACF1 SKIL
MACF1 PLEKHA5
MACF1 NRXN2
DIRAS3 MEOX2
KLHL13 USP11
SERPING1 PLAT
SERPING1 C1R
SERPING1 C1S
ZFAND5 UBC
ZFAND5 ZFAND5
CORO1C ACTB
CYP1B1 PTGS2
CYP1B1 LSS
C1R C1QA
C1R PTX3
C1R C3
C1R C1QB
C1R C1S
C1R C1R
PRSS23 ACTG1
CNPY4 ARL4D
NTRK3 JUN
NTRK3 HTR2A
NTRK3 FOS
NTRK3 SQSTM1
NTRK3 BEX3
NTRK3 PTPRS
NTRK3 DOK5
FAM110B MEIS3
FAM110B PKNOX2
PLCE1 LGALS3
PLCE1 ZYX
GATA6 CYB5A
LEPR STAT3
LEPR CLU
LEPR SOCS3
LEPR NDN
LEPR LEPR
LEPR APOD
LEPR LEPROT
BCL6 ZBTB16
BCL6 JUN
BCL6 HDAC7
BCL6 JUND
BCL6 BCL6
BCL6 UCHL1
BCL6 JUNB
BCL6 RUNX1T1
BCL6 WDR35
BCL6 TBL1XR1
BCL6 SMO
BCL6 DNAH9
BCL6 EBF1
BCL6 PLPP3
BCL6 HSF4
BCL6 ARRDC3
BCL6 ANKRD53
BCL6 LIMS4
GSTM1 GSTM2
GSTM1 GSTM1
TMEM74B ABL1
GPR135 MAGED1
LUM COL1A2
LUM MMP14
LUM ACAN
LONRF1 NR4A1
LONRF1 SPRY2
LONRF1 MAGED1
LONRF1 RBPMS
LONRF1 ADAMTSL4
LONRF1 GABPB2
LONRF1 LONRF1
LONRF1 MID2
LONRF1 PRDM6
LONRF1 MYOZ3
LONRF1 PPP1R3C
LONRF1 HLX
LONRF1 TBX19
KCND1 IL16
F10 MGST3
F10 PLAT
F10 F3
F10 PROS1
F10 TFPI
F10 F10
S100A6 ANXA2
S100A6 S100A6
ZNF618 MID1
ZNF618 ZNF618
CASTOR1 ZC2HC1A
CASTOR1 CASTOR1
CTSL GEM
CTSL SLPI
CTSL CST3
CTSL COL18A1
CTSL CTSL
RADIL CAV1
RADIL LITAF
RADIL RAD51D
RADIL DEGS1
RADIL APOC1
ROR1 NGF
DAB2 LRP1
DAB2 PRKCA
DAB2 PIK3R1
DAB2 ITGB5
DAB2 APLP2
RAPH1 ENAH
COL14A1 DCN
C4A CST3
C4A NFIC
EEF1A1P5 FAS
EEF1A1P5 MAGED2
EEF1A1P5 CCL18
RUNX1T1 ZBTB16
RUNX1T1 SPRY2
RUNX1T1 UBE2E2
RUNX1T1 TCF4
RUNX1T1 ATN1
RUNX1T1 CBFA2T2
RUNX1T1 MEOX2
RUNX1T1 MID2
RUNX1T1 ID3
RUNX1T1 RUNX1T1
RUNX1T1 PRDM6
RUNX1T1 SORBS3
RUNX1T1 ADAMTSL4
RUNX1T1 ZFP36
RUNX1T1 HOXB2
RUNX1T1 KIAA0408
GPRASP2 PTN
GPRASP2 CEP126
GPRASP2 PLAC9
GPRASP2 CAVIN3
PTGS2 CAV1
PTGS2 PTGS2
PTGS2 USP22
PTGS2 PTGDS
PTGS2 PTGIS
NR4A3 ADAMTSL4
NR4A3 RECK
NR4A3 EFEMP1
NR4A3 PCSK5
NR4A3 VASN
NR4A3 TSPAN4
NAMPT FTL
NAMPT IFITM3
NAMPT GGT1
NAMPT NAMPT
FAS EGFR
FAS PRKCA
FAS TNFRSF1A
FAS FAS
FAS FAIM2
FAS TNFSF13
FAS CRMP1
KIZ MEOX2
RTN4 NR4A1
RTN4 ABL1
RTN4 YAP1
RTN4 CRMP1
RTN4 CYB5R3
RTN4 CNTNAP1
RTN4 CNTN1
RTN4 RTN4
RTN4 ATL1
RTN4 ZFYVE21
CXCL9 TMEM237
CXCL9 SFTPC
CXCL9 BSCL2
CXCL9 AMIGO1
CXCL9 SLC10A1
CXCL9 SLC39A1
STAT3 NR4A1
STAT3 EGFR
STAT3 TRIP10
STAT3 AR
STAT3 JUN
STAT3 PDIA3
STAT3 CDKN1A
STAT3 STAT3
STAT3 NFKBIZ
STAT3 FGFR1
STAT3 HES1
STAT3 HIC1
STAT3 IGF1R
STAT3 PDGFRB
STAT3 HSPB1
STAT3 PDGFRA
STAT3 FGFR4
STAT3 GHR
STAT3 HSP90AA2P
STAT3 CITED2
STAT3 IL6ST
STAT3 STAT2
STAT3 CRYAB
STAT3 EPHA5
DBNDD2 PLEKHA5
PHYHIP S100A13
PHYHIP PHYHIP
DEPP1 SERTAD3
DEPP1 MDFI
ANXA5 PDIA3
ANXA5 KDR
ANXA5 ACTG1
ANXA5 ITGB5
ANXA5 COL10A1
COL4A1 FN1
COL4A1 DCN
COL4A1 FBLN2
COL4A1 MATN2
COL4A1 THBS1
COL4A1 SERPINE2
COL4A1 COL16A1
COL4A1 COL4A2
COL4A1 NID2
COL4A1 COL4A1
COL4A1 NID1
S100A4 EGFR
S100A4 ANXA2
S100A4 PPFIBP1
S100A4 MYH10
S100A4 TPM2
S100A4 S100A4
BEGAIN BEGAIN
BEGAIN KIAA0408
BEGAIN DLGAP1
BEGAIN FAM107A
BEGAIN FAM161A
BEGAIN GEM
BEGAIN ZNF835
ZNF483 MEOX2
FGFR1 FGFR1
FGFR1 FGF2
FGFR1 PIK3R1
FGFR1 CDH11
FGFR1 PDGFRB
FGFR1 CTTN
FGFR1 NRP1
FGFR1 MMP2
FGFR1 FGF9
FGFR1 TNS2
FGFR1 FGF18
FGFR1 IL17RD
CCDC89 TSFM
TPPP SNCA
NCAM2 PRNP
ADAMTS10 CDKN1A
PDIA3 CLU
PDIA3 LAMC1
PDIA3 VCL
PDIA3 EFEMP1
PDIA3 PDIA3
PDIA3 COL6A3
PDIA3 HLA-G
PDIA3 GYPC
PDIA3 ITGA2
PDIA3 ITGB1
PDIA3 ITGB5
PDIA3 LAMB1
PDIA3 ADAM17
FHL5 ZBTB16
FHL5 SRF
FHL5 GSTP1
FHL5 SPRY1
FHL5 IL16
FHL5 FHL5
FHL5 IP6K3
FHL5 MYOZ3
FHL5 RAB3IL1
EFEMP1 ATN1
EFEMP1 MEOX2
EFEMP1 TIMP3
EFEMP1 IGFBP6
EFEMP1 MSRB3
EFEMP1 SLPI
IGF1 IGF1R
IGF1 IGFBP7
IGF1 IGFBP4
IGF1 IGFBP5
IGF1 IGFBP6
IGF1 TCEANC
USP22 MYC
USP22 RCAN1
USP22 KIF7
USP22 HEXA
DBT PPM1K
DBT ADI1
DBT BCAT1
MAP3K8 NFKBIA
MAP3K8 ABL1
MAP3K8 SPTBN1
MAP3K8 MAP3K8
MAP3K8 LGALS3BP
MAP3K8 GLG1
NPIPA1 FOS
EPAS1 JUN
EPAS1 ARNT
EPAS1 NDN
EPAS1 MITF
EPAS1 EPAS1
EPAS1 BBS4
TDO2 TDO2
TDO2 NR1D1
MPDZ NR4A1
MPDZ HTR2A
MPDZ LATS2
MPDZ YAP1
MPDZ AMOTL2
MPDZ CAMK2A
