HOXB8 PBX1
DDIT4 UBC
DDIT4 HSPA4
DDIT4 DDB1
DDIT4 TXNIP
DDIT4 RIF1
FAF2 UBE3A
FAF2 HIF1A
FAF2 UBC
FAF2 DDB1
FAF2 UBQLN2
FAF2 NPEPPS
FAF2 AUP1
FAF2 TOMM20
FAF2 SLC25A4
FAF2 NF1
FAF2 HUWE1
FAF2 DERL2
FAF2 TIMM17B
FAF2 PNPLA2
FAF2 FAF2
FAF2 RPS27A
FAF2 PJA2
FAF2 DCAF7
FAF2 LGALS3BP
NMRK1 TAX1BP1
EGLN1 SRC
EGLN1 HIF1A
EGLN1 EPAS1
EGLN1 POLR2A
EGLN1 HSP90AA1
EGLN1 HSP90AB1
EGLN1 FKBP5
EGLN1 PTGES3
PLEKHA3 MORF4L1
PLEKHA3 PLEKHA3
DDX56 USP33
DDX56 RPL34
DDX56 EIF4A3
DDX56 MRPS5
DDX56 MRPS9
DDX56 RPL26
DDX56 RPL29
DDX56 SRP14
DDX56 MRPS34
DDX56 MRPL43
DDX56 MRPS14
DDX56 DDX56
DDX56 SPCS2
TMUB1 ERLIN2
TMUB1 TMEM14B
TMUB1 TMBIM6
RPL8 NPM1
RPL8 PIAS2
RPL8 PIAS1
RPL8 EEF1A1
RPL8 NAE1
RPL8 UBE2M
RPL8 LUC7L2
RPL8 HNRNPU
RPL8 PCNA
RPL8 DDB1
RPL8 ILF2
RPL8 NCL
RPL8 HNRNPC
RPL8 FGFR3
RPL8 DHX9
RPL8 SNRNP200
RPL8 HSP90AA1
RPL8 EBNA1BP2
RPL8 RPL3
RPL8 RPL34
RPL8 TOP1
RPL8 HSP90AB1
RPL8 HNRNPA1
RPL8 HNRNPM
RPL8 FMR1
RPL8 PA2G4
RPL8 PHB
RPL8 RPS4X
RPL8 SSRP1
RPL8 SF3B1
RPL8 STAU1
RPL8 FXR1
RPL8 CDC42
RPL8 LARP7
RPL8 ATP5F1C
RPL8 RPN1
RPL8 RPL5
RPL8 RPL24
RPL8 RPL7A
