RNF39 AP1B1
NMRK1 REL
NMRK1 TAX1BP1
NMRK1 PNP
NKIRAS2 NFKBIB
PLEKHA3 MORF4L1
PLEKHA3 RNMT
PLEKHA3 PLEKHA3
CRKL ANK3
CRKL BLNK
CRKL EGFR
CRKL ERBB2
CRKL PTK2
CRKL IGF1R
CRKL ITGB1
CRKL SHC1
CRKL BCAR1
CRKL GAB1
CRKL BAG3
CRKL PXN
CRKL ARHGAP32
CRKL MAP4K5
CRKL SASH1
CRKL SOS1
CRKL ERBB3
CRKL EPHB6
CRKL ABI1
CRKL INSR
CRKL CRK
CRKL CRKL
CRKL SOS2
CRKL YES1
CRKL PSMC6
CRKL USP53
SAMD8 TGFBR1
RHBDL2 EFNB2
RHBDL2 TMBIM6
SYNJ2 RAC1
SYNJ2 SFN
SYNJ2 NCK1
SYNJ2 SYNJ2BP
SYNJ2 SYNJ2
NDUFA6 NDUFS1
NDUFA6 NDUFA13
NDUFA6 BAG6
NDUFA6 UQCRC2
NDUFA6 NDUFB9
NDUFA6 NDUFB11
NDUFA6 NDUFS4
NDUFA6 CYC1
NDUFA6 NDUFA2
NDUFA6 NDUFB5
NDUFA6 NDUFA12
NDUFA6 NDUFB10
NDUFA6 NDUFA5
NDUFA6 NDUFS3
NDUFA6 NDUFA8
NDUFA6 NDUFA9
NDUFA6 NDUFB3
NDUFA6 NDUFA7
NDUFA6 NDUFS7
NDUFA6 NDUFAB1
NDUFA6 UQCR10
NDUFA6 NDUFC2
NDUFA6 NDUFS5
NDUFA6 UQCRQ
NDUFA6 NDUFB7
NDUFA6 UQCRFS1
NDUFA6 ETFDH
NDUFA6 ATP5MF
NDUFA6 MT-CYB
NDUFA6 NDUFA4
NDUFA6 NDUFB6
NDUFA6 MT-ND1
NDUFA6 NDUFS6
NDUFA6 NDUFS2
NDUFA6 UQCRC1
NDUFA6 NDUFS8
NDUFA6 UQCR11
NDUFA6 NDUFA10
NDUFA6 PHLDA3
NDUFA6 NDUFV2
NDUFA6 NDUFB8
NDUFA6 NDUFA1
NDUFA6 NDUFC1
NDUFA6 NDUFB4
NDUFA6 NDUFB1
NDUFA6 NDUFV1
NDUFA6 NDUFB2
NDUFA6 NDUFA11
ZNF428 BANF1
ZNF600 MAPK6
ZHX1 SRF
ZHX1 CSNK2A1
ZHX1 ATXN1
ZHX1 GSK3B
ZHX1 CDK2
ZHX1 NFYA
ZHX1 BARD1
ZHX1 CHD3
ZHX1 GADD45A
ZHX1 BID
ZHX1 BHLHE40
ZHX1 ZHX1
ZHX1 PRPF40A
ZHX1 TALDO1
ZHX1 SAT1
ZHX1 PSMD11
ZHX1 LYAR
ZHX1 DYNLL1
ZHX1 TOLLIP
ZHX1 PAFAH1B3
ZHX1 ZYX
ZHX1 UTP3
ZHX1 HSPE1
ZHX1 ELL
ZHX1 DLST
ZHX1 TARDBP
ZHX1 PNP
ZHX1 MPHOSPH6
ZHX1 NACA
HRAS MAPK8
HRAS EGFR
HRAS SRC
HRAS KRAS
HRAS ITGB1
HRAS CAV1
HRAS NUMB
HRAS RASSF5
HRAS NOTCH1
HRAS RALGDS
HRAS CDC42
HRAS AFDN
HRAS NECTIN1
HRAS EPB41L1
HRAS DLG1
HRAS RGL2
HRAS BRAF
HRAS SOS1
HRAS NF1
HRAS ERBIN
HRAS SNRPE
HRAS BTRC
HRAS SDC1
HRAS BAIAP2
HRAS SLC12A2
HRAS MARK2
HRAS NECTIN2
HRAS F11R
HRAS LSR
HRAS STX3
HRAS MARK3
HRAS MINK1
HRAS KIAA1522
HRAS STEAP3
HRAS VAMP8
HRAS BSG
HRAS ATP2B1
HRAS ATP2B4
HRAS SLC3A2
HRAS SLC1A5
HRAS PANX1
HRAS PHACTR4
HRAS TFRC
HRAS SLC4A7
HRAS SCRIB
HRAS PKP4
HRAS RALA
HRAS YES1
HRAS SLC7A5
HRAS MARCKS
HRAS DCUN1D3
HRAS ATP1A1
HRAS CPNE8
HRAS CDC42EP1
HRAS EPHA2
HRAS STXBP3
HRAS CEMIP2
HRAS EFNB1
HRAS OCLN
HRAS CDC42EP4
HRAS MPP7
HRAS DSC3
HRAS HRAS
HRAS VAMP2
HRAS RALGPS2
HRAS PRKCI
HRAS TIAM1
HRAS PLAU
HRAS INSR
HRAS SOS2
HRAS RHEB
HRAS RHOD
HRAS IRAK2
UBR5 RELA
UBR5 ZUP1
UBR5 UBC
UBR5 GSK3B
UBR5 SMAD2
UBR5 UBE2L3
UBR5 UBE2E1
UBR5 UBE2E2
UBR5 UBE2E3
UBR5 CIB1
UBR5 KPNB1
UBR5 MED26
UBR5 RANGAP1
UBR5 KPNA1
UBR5 GRWD1
UBR5 UBR5
UBR5 ZNF207
UBR5 TLE3
UBR5 OTUD5
UBR5 UBXN7
UBR5 MED19
EPHB3 CRK
EPHB3 AFDN
EPHB3 RYK
EPHB3 EPHB3
TSG101 DAXX
TSG101 MDM2
TSG101 RNF111
TSG101 EGFR
TSG101 NDUFA13
TSG101 EP300
TSG101 CDKN1A
TSG101 UBC
TSG101 KRT15
TSG101 VCP
TSG101 VPS37A
TSG101 VPS37C
TSG101 VPS37B
TSG101 PDCD6IP
TSG101 ARRDC1
TSG101 TSG101
TSG101 TFG
TSG101 AKAP9
TSG101 UBAP1
TSG101 LITAF
TSG101 TAX1BP1
TSG101 BCAR1
TSG101 CRK
TSG101 EPHA2
TSG101 RAB7A
TSG101 CHMP5
TSG101 UBB
TSG101 POLD2
TSG101 ENO1
TSG101 SMARCC2
TSG101 CD2AP
TSG101 KRT18
TSG101 KIFC3
TSG101 TOM1L1
TSG101 COPE
TSG101 THOC7
TSG101 SCRIB
TSG101 AATF
TSG101 TNNT3
TSG101 KRT13
TSG101 SH2D3A
TSG101 COPS6
TSG101 RNF126
TSG101 LNX1
TSG101 GOLM1
TSG101 PPP1R13B
TSG101 KRT16
TSG101 LCN2
ATP1B3 RTN4
ATP1B3 CYB5B
ATP1B3 SMAGP
KLF3 CTBP2
KLF3 DVL3
SHISA5 COPS5
SHISA5 ARL6IP1
SHISA5 SCAND1
SHISA5 TVP23B
OBSCN CALM2
OBSCN CALM1
PTGS2 CTNNB1
PTGS2 EP300
PTGS2 CAV1
PTGS2 COPS5
PTGS2 PTGS2
PTGS2 PTGES
PRMT1 RELA
PRMT1 RUNX1
PRMT1 AXIN1
PRMT1 SIRT1
PRMT1 EP300
PRMT1 YWHAG
PRMT1 CHTOP
PRMT1 YY1
PRMT1 NCOA3
PRMT1 HNRNPU
PRMT1 HNRNPA1
PRMT1 NRIP1
PRMT1 KHDRBS1
PRMT1 BTG1
PRMT1 DHX9
PRMT1 FBL
PRMT1 PRMT1
PRMT1 ILF3
PRMT1 HNRNPK
PRMT1 HNRNPR
PRMT1 SYNCRIP
PRMT1 FUS
PRMT1 EWSR1
PRMT1 SPSB1
PRMT1 UBAP2L
PRMT1 RBM15
PRMT1 FBXL17
PRMT1 EIF1B
PRMT1 MED31
PRMT1 RIF1
PRMT1 PIP4K2C
PRMT1 MBP
PRMT1 C1QBP
PRMT1 LRIF1
PRMT1 CAPRIN1
PRMT1 S100A8
PRMT1 KHDRBS3
CSTF2 DDX1
CSTF2 UBQLN1
CSTF2 POLR2A
CSTF2 SUB1
CSTF2 CTBP2
CSTF2 BAG6
CSTF2 TFG
CSTF2 BARD1
CSTF2 CSTF3
CSTF2 SSU72
CSTF2 CHD3
CSTF2 AKAP8L
CSTF2 CEACAM6
CSTF2 ANKRD10
CSTF2 ABHD11
CSTF2 TLE3
PSMA1 AGR2
PSMA1 UBE3A
PSMA1 PSME3
PSMA1 MYC
PSMA1 PSMA3
PSMA1 KRT15
PSMA1 HSPA8
PSMA1 UBQLN1
PSMA1 MAPRE1
PSMA1 VCP
PSMA1 KCTD1
PSMA1 REL
PSMA1 HSPA5
PSMA1 GOLGA2
PSMA1 PSMD10
PSMA1 PSMD2
PSMA1 KRT19
PSMA1 ABI2
PSMA1 KRT13
PSMA1 TFE3
PSMA1 HOOK2
PSMA1 HSPA1A
PSMA1 CEP70
PSMA1 SH3GLB1
PSMA1 TNFAIP1
PSMA1 RBCK1
PSMA1 PSMC6
PSMA1 KCTD9
PSMA1 HOMEZ
PSMA1 PSME2
PSMA1 PSMD14
PSMA1 HSPA2
PSMA1 PSMC5
PSMA1 EIF4A3
PSMA1 SEC16A
PSMA1 PSMC3
PSMA1 PSMC4
PSMA1 HOMER3
PSMA1 SAT1
PSMA1 MKNK2
PSMA1 NOTCH2NLA
PSMA1 CALCOCO2
PSMA1 GABARAPL2
PSMA1 PSMC1
PSMA1 PSMD6
PSMA1 PSMD7
PSMA1 ADRM1
PSMA1 PSMB5
PSMA1 PSMA2
PSMA1 TXNL1
PSMA1 PSMA4
PSMA1 PSMB2
PSMA1 PSMA1
PSMA1 PSMA5
PSMA1 PSMB8
PSMA1 POMP
PSMA1 PSMB1
PSMA1 PSMB3
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD11
PSMA1 PSMD12
PSMA1 PSMD1
PSMA1 PSMD8
PSMA1 PSME4
PSMA1 PSMG1
PSMA1 TMOD3
PSMA1 RBM28
PSMA1 MCC
PSMA1 CEP72
PSMA1 TUBA4A
PSMA1 BLZF1
PSMA1 POLR1C
PSMA1 LONRF1
PSMA1 YPEL5
PSMA1 CHMP1A
PSMA1 KHDRBS3
PSMA1 DYNLT1
PSMA1 WTAP
PSMA1 ZMYND19
PSMA1 PCBD1
PSMA1 NAB2
PSMA1 GPHN
PSMA1 DCTPP1
PSMA1 KAZN
FAS ANK3
FAS MAPK8
FAS DAXX
FAS SUMO1
FAS SP1
FAS EGFR
FAS SRC
FAS TNFRSF1A
FAS EZR
FAS FAF1
FAS BID
FAS CALM1
FAS YES1
FAS CASP10
FAS FAS
FAS CFLAR
FAS LRIF1
FAS FEM1B
FAS CALM2
FAS RIF1
FAS RIPK1
FAS TNFRSF10B
CCDC57 ZFC3H1
CCDC57 EIF4G1
CCDC57 NUMA1
CCDC57 TRIM29
CCDC57 ABI2
CCDC57 AMOTL2
CCDC57 CCDC120
CCDC57 MFAP1
CCDC57 PPHLN1
CCDC57 CCDC57
CCDC57 TBC1D22B
CCDC57 ZMAT2
CCDC57 NAPRT
CCDC57 ARL4A
CCDC57 ELOA
CCDC57 GPBP1
CCDC57 DTX2
CCDC57 FH
CCDC57 ABLIM1
CCDC57 TIMM44
CCDC57 GRPEL1
CCDC57 BEX2
CCDC57 ABI1
CCDC57 TP53BP2
CCDC57 RUSC1
CCDC57 HDX
CCDC57 PRPF18
CCDC57 NAB2
CCDC57 KRT4
CCDC57 ZNF655
AHNAK2 UBIAD1
AHNAK2 GABARAPL1
AHNAK2 GABARAPL2
AHNAK2 C3orf52
AHNAK2 CYB5B
RTN4 NR4A1
RTN4 SRC
RTN4 YAP1
RTN4 FXR2
RTN4 RTN3
RTN4 ARL6IP1
RTN4 MAP4K4
RTN4 TUBA4A
RTN4 UQCRC2
RTN4 RTN2
RTN4 MBP
RTN4 PLEKHF2
RTN4 RTN4
RTN4 ZFYVE21
RTN4 UQCRC1
AURKAIP1 MRPS7
AURKAIP1 MRPS35
AURKAIP1 MRPS10
AURKAIP1 AURKAIP1
RAB13 KRAS
RAB13 TGFBR1
RAB13 RAB13
AHCY AGR2
AHCY YWHAZ
AHCY EIF1B
AHCY MCC
AHCY MAPK13
AHCY AHCY
S100A4 MDM2
S100A4 EGFR
S100A4 SMAD3
S100A4 BAG6
S100A4 ANXA2
S100A4 PPFIBP1
S100A4 HBEGF
S100A4 METAP2
S100A4 EGF
S100A4 S100A4
S100A4 S100P
VDAC1 NPM1
VDAC1 NDUFS1
VDAC1 EIF3K
VDAC1 GAPDH
VDAC1 HSPA8
VDAC1 GSN
VDAC1 HSPD1
VDAC1 LRPPRC
VDAC1 CSNK2B
VDAC1 DDX5
VDAC1 TMEM41B
VDAC1 NCL
VDAC1 ANXA2
VDAC1 ACTB
VDAC1 HNRNPA2B1
VDAC1 ENO1
VDAC1 EIF3B
VDAC1 YBX1
VDAC1 HNRNPD
VDAC1 HSP90AA1
VDAC1 HSP90AB1
VDAC1 HNRNPA1
VDAC1 PHB
VDAC1 RAB7A
VDAC1 KIF5B
VDAC1 HK1
VDAC1 KPNB1
VDAC1 EIF3I
VDAC1 ATP5F1C
VDAC1 VAPA
VDAC1 HNRNPH1
VDAC1 SLC3A2
VDAC1 ATP1A1
VDAC1 MT-CO2
VDAC1 ATP5F1A
VDAC1 HSPA9
VDAC1 MCL1
VDAC1 RPLP0
VDAC1 MYL6
