CLPS PNLIP
DDIT4 PLCG1
DDIT4 UBC
DDIT4 GSK3B
DDIT4 DDB1
DDIT4 TXNIP
DDIT4 RIF1
FAF2 UBE3A
FAF2 HIF1A
FAF2 UBC
FAF2 VCP
FAF2 ELOC
FAF2 BAG6
FAF2 DDB1
FAF2 PSMD2
FAF2 NPLOC4
FAF2 UFD1
FAF2 AUP1
FAF2 INSIG1
FAF2 UBR1
FAF2 NF1
FAF2 HUWE1
FAF2 ELAVL1
FAF2 SEL1L
FAF2 PNPLA2
FAF2 FAF2
FAF2 LMBR1L
FAF2 UBB
FAF2 CUL1
FAF2 USP13
FAF2 UBR5
FAF2 PJA2
NKIRAS2 NFKBIA
NKIRAS2 NFKBIB
EGLN1 HIF1A
EGLN1 EPAS1
EGLN1 POLR2A
EGLN1 HSP90AA1
EGLN1 HSP90AB1
EGLN1 PTGES3
EGLN1 OS9
PLEKHA3 MORF4L1
PLEKHA3 MYO15B
PLEKHA3 PLEKHA3
SERPING1 SELP
SERPING1 PLAT
SERPING1 C1R
SERPING1 SELE
SYNJ2 RAC1
SYNJ2 FYN
SYNJ2 NCK1
SYNJ2 SYNJ2BP
SYNJ2 SYNJ2
TBCD XRCC6
TBCD TUBB
TBCD PPP2CA
TBCD SMAD9
TBCD ARL2
TBCD DEXI
CCNL2 POLR2A
CCNL2 DYRK1A
CCNL2 CDK11B
CCNL2 SRSF7
CCNL2 RNPS1
CCNL2 SRSF2
CCNL2 JMJD6
GBP2 KLHL20
GBP2 GSK3B
GBP2 CSNK2B
GBP2 TFG
GBP2 MAGI1
GBP2 GADD45A
GBP2 FXR1
GBP2 BID
GBP2 STK3
GBP2 ANXA7
GBP2 LSM2
GBP2 SEPHS1
ZNF608 ATN1
ZHX1 AKT1
ZHX1 SRF
ZHX1 JUN
ZHX1 CSNK2A1
ZHX1 NR3C1
ZHX1 GSK3B
ZHX1 CREB1
ZHX1 TAL1
ZHX1 CDK2
ZHX1 VIM
ZHX1 BCL2L1
ZHX1 GADD45A
ZHX1 BID
ZHX1 ZMYND11
ZHX1 BHLHE40
ZHX1 ZHX3
ZHX1 ZHX1
ZHX1 GNG11
ZHX1 PRPF40A
ZHX1 PSMD11
ZHX1 DYNLL1
ZHX1 DLST
ZHX1 TARDBP
ZHX1 WDR33
ZHX1 PNP
ZHX1 AKR1C3
ZHX1 LAMA4
CPD KRAS
CPD LAMP1
CPD NRAS
HRAS MAPK8
HRAS KRAS
HRAS ITGB1
HRAS CAV1
HRAS NUMB
HRAS NOTCH1
HRAS RALGDS
HRAS CDC42
HRAS AFDN
HRAS NRAS
HRAS PIK3CA
HRAS RGL2
HRAS BRAF
HRAS RASIP1
HRAS SOS1
HRAS RASSF1
HRAS SHOC2
HRAS NF1
HRAS ERBIN
HRAS LGALS1
HRAS SNRPE
HRAS LATS2
HRAS DUSP22
HRAS ROCK1
HRAS BAIAP2
HRAS SYTL4
HRAS SLC12A2
HRAS RICTOR
HRAS NECTIN2
HRAS F11R
HRAS LSR
HRAS MARK3
HRAS MINK1
HRAS SPRY4
HRAS SLC39A10
HRAS MPZL1
HRAS SLC12A4
HRAS BSG
HRAS ATP2B4
HRAS SLC3A2
HRAS SLC30A1
HRAS MARCKSL1
HRAS VAMP3
HRAS PHACTR4
HRAS SLC4A7
HRAS PKP4
