SAMD8 TGFBR1
RHBDL2 EFNB2
SYNJ2 SFN
SYNJ2 SH3GL2
SYNJ2 SYNJ2BP
SYNJ2 SYNJ2
PLPP4 BIK
PLPP4 GJA1
PLPP4 BCL2L13
PLPP4 UPK1B
PLPP4 PLPP4
PLPP4 CPLX4
PLPP4 TMEM45B
PLPP4 PSCA
PLPP4 GJB5
LINC00636 MDFI
ZNF600 MAPK6
HRAS EGFR
HRAS SRC
HRAS ITGB1
HRAS CAV1
HRAS TP73
HRAS NECTIN1
HRAS DLG1
HRAS BRAF
HRAS BTRC
HRAS SDC1
HRAS RAB23
HRAS BAIAP2
HRAS SLC12A2
HRAS F11R
HRAS LSR
HRAS STX3
HRAS KIAA1522
HRAS SLC3A2
HRAS PHACTR4
HRAS SLC4A7
HRAS YES1
HRAS SLC7A5
HRAS DCUN1D3
HRAS ATP1A1
HRAS EPHA2
HRAS EFNB1
HRAS OCLN
HRAS CDC42EP4
HRAS MPP7
HRAS DSC3
HRAS HRAS
HRAS RSPO3
HRAS PRKCI
HRAS TIAM1
HRAS PLAU
HRAS RGR
EPHB3 ALK
EPHB3 CRK
EPHB3 EPHB3
RGS2 UBC
RGS2 HSPA8
RGS2 CRMP1
RGS2 NINL
RGS2 ADCY5
RGS2 DDR1
RGS2 TUBB2B
RGS2 GNA15
RGS2 COMT
PTGS2 CTNNB1
PTGS2 CAV1
PTGS2 PTGS2
PTGS2 ABHD16A
PTGS2 CYP1B1
PTGS2 PTGDS
PTGS2 PTGES
CSTF2 CTBP2
CSTF2 TFG
CSTF2 FEZ1
CSTF2 PCSK4
CSTF2 CEACAM6
AHNAK2 C3orf52
AHNAK2 IGFBP5
AHNAK2 FAM3C
DRD4 ADRB2
DRD4 KCNJ9
DRD4 KCNJ3
DRD4 CLIC6
S100A4 MDM2
S100A4 EGFR
S100A4 SMAD3
S100A4 ANXA2
S100A4 S100A1
S100A4 S100B
S100A4 CCN3
S100A4 HBEGF
S100A4 UNC119
S100A4 BTC
S100A4 EGF
S100A4 S100A4
S100A4 S100P
TNFRSF21 APP
TNFRSF21 MATR3
EPAS1 TFAP2A
EPAS1 SMAD3
EPAS1 MITF
EPAS1 ARNT2
EPAS1 SOX10
EPAS1 EPAS1
BAALC KLF4
BAALC MDFI
ELK1 SRF
ELK1 CTNNB1
ELK1 EGR1
ELK1 ELK3
ELK1 CEBPB
ELK1 SPTBN2
ELK1 MOB4
ELK1 ID3
ELK1 ID1
ELK1 EGR2
ELK1 MAP2K3
ELK1 ELK1
TUBB2B CDKN1A
TUBB2B HSPA8
TUBB2B SAT1
TUBB2B PSMD11
CRMP1 AGR2
CRMP1 SRC
CRMP1 TSC22D1
CRMP1 TFG
CRMP1 MAP3K20
CRMP1 HNRNPH1
CRMP1 FTH1
CRMP1 TRIP13
CRMP1 DNAJB11
CRMP1 CRMP1
CRMP1 DPYSL3
CRMP1 AP3M1
CRMP1 SNRPG
CRMP1 SAT1
CRMP1 HNRNPH3
CRMP1 MOB4
CRMP1 PLA2G2A
CRMP1 NDUFV2
CRMP1 HSPE1
CRMP1 PSMD11
IRX6 CRX
KRT4 KRT15
KRT4 KRT31
KRT4 KRT19
KRT4 KRT13
KRT4 KRT16
KRT4 KRT24
KRT4 KRT25
ERC2 PPFIA2
ERC2 PCLO
ERC2 GRIP2
ERC2 ERC2
EGR1 SRF
EGR1 EGFR
EGR1 CDKN2A
EGR1 CEBPB
EGR1 NAB1
EGR1 ERBB3
EGR1 PITX1
EGR1 F3
EGR1 FOSL1
EGR1 PTGES
PAWR HSPA5
PAWR RRAS2
PAWR TRIM21
PAWR SQSTM1
PAWR PAWR
CENPF ALK
CENPF TSC22D1
CENPF SNAP25
CENPF CENPF
CDS1 PLD1
CDS1 TMEM237
ARHGAP32 CTNNB1
ARHGAP32 SRC
ARHGAP32 NTRK1
ARHGAP32 GAB1
ARHGAP32 CRK
ARHGAP32 DLG4
ARHGAP32 CDH1
ARHGAP32 CDH2
ARHGAP32 SFN
ARHGAP32 ABI2
ARHGAP32 SHC3
ARHGAP32 MDFI
TPM4 PTP4A3
KLHL23 CDKN1A
PKP1 MYC
PKP1 KRT8
PKP1 CARD10
PKP1 DSP
PKP1 KRT14
PKP1 DSG1
PKP1 BICDL2
CTNND1 CTNNB1
CTNND1 MYC
CTNND1 EGFR
CTNND1 SRC
CTNND1 YWHAG
CTNND1 CTTN
CTNND1 MUC1
CTNND1 ACTG1
CTNND1 CDH1
CTNND1 CDH2
CTNND1 CDH3
CTNND1 COL17A1
CTNND1 PLPP3
CTNND1 YES1
CTNND1 JUP
CTNND1 SQSTM1
CTNND1 FER
CTNND1 CTNND1
CTNND1 CDH24
HSPA1A EGFR
HSPA1A HSPA8
HSPA1A HSPD1
HSPA1A YWHAG
HSPA1A SOX9
HSPA1A HSPA5
HSPA1A YWHAZ
HSPA1A BAG3
HSPA1A HSP90AA1
HSPA1A CDH1
HSPA1A HSP90AB1
HSPA1A ACTN4
HSPA1A BRAF
HSPA1A KRT18
HSPA1A HSPA6
HSPA1A DNAJB1
HSPA1A LAMA3
HSPA1A HSPA1A
HSPA1A DNAJB11
HSPA1A KRT7
HSPA1A TUBB1
HSPA1A PPP1R15A
HSPA1A NQO1
HSPA1A PSMD11
HSPA1A BAG1
HSPA1A HSBP1
HSPA1A TUBA4A
HSPA1A PSMD12
HSPA1A ZNF217
HSPA1A HSPA2
HSPA1A BMI1
HSPA1A PSMA2
RASSF6 MDM2
RASSF6 UNC119
RASSF6 STK3
RORA CEBPB
RORA GFAP
RORA RORA
RORA NR1D1
PI16 PLP1
SFRP4 AQP6
RCVRN CAV1
LACRT SDC1
PAQR6 GLP1R
PAQR6 MUC1
KRT24 KRT8
KRT24 ABI2
KRT24 KRT5
KRT24 TSGA10IP
KRT24 TRIML2
KRT24 KRT3
MAP4K5 CRK
SLC25A4 SRC
SLC25A4 HSPD1
SLC25A4 HSP90AB1
SLC25A4 ATP1A1
SLC25A4 PPIF
FAM124A CCDC33
FAM124A KIFC3
FAM124A ZNF165
FAM124A FOXP2
FAM124A RAB3IP
FAM124A BEND7
SYTL5 RAB27B
SPRY2 SRC
SPRY2 BRAF
SPRY2 ZNF417
SPRY2 LONRF1
SPRY2 OTX1
SPRY2 MDFI
SPRY2 MAPKBP1
SPRY2 SPRY2
SPRY2 BAG3
TRDN ASPH
MAPKBP1 MAPK10
MAPKBP1 KRT31
MAPKBP1 RGS20
MAPKBP1 MDFI
MAPKBP1 KRTAP3-2
SLC7A5 ITGB1
SLC7A5 SLC3A2
AGT NR2F1
AGT REN
AGT PLPPR3
AGT MAS1
