HOXB8 MEIS1
DDIT4 UBC
DDIT4 HSPA4
DDIT4 DDB1
DDIT4 RIF1
NMRK1 REL
NMRK1 TAX1BP1
NMRK1 PNP
NKIRAS2 TK1
NKIRAS2 NFKBIA
NKIRAS2 NFKBIB
HDAC9 MAPK8
HDAC9 SUMO1
HDAC9 NCOR1
HDAC9 SUMO2
HDAC9 ESR1
HDAC9 YWHAG
HDAC9 CTBP1
HDAC9 YWHAZ
HDAC9 ETV6
HDAC9 YWHAE
HDAC9 NRIP1
HDAC9 HEY2
HDAC9 RFXANK
HDAC9 HDAC9
HDAC9 MORF4L2
HDAC9 PCBP1
DNMT1 TP53
DNMT1 HDAC2
DNMT1 STAT3
DNMT1 RUNX1
DNMT1 USP7
DNMT1 MYC
DNMT1 SIRT1
DNMT1 EZH2
DNMT1 PTK2
DNMT1 PCNA
DNMT1 NRIP1
DNMT1 TRIM28
DNMT1 DNMT3A
DNMT1 UBB
DNMT1 KDM1A
DNMT1 DDB1
DNMT1 CHD4
DNMT1 HELLS
DNMT1 BRAP
DNMT1 YWHAZ
DNMT1 MBD3
DNMT1 CSNK2B
DNMT1 DYNLL1
DNMT1 KMT2C
DNMT1 CBX1
DNMT1 HMGB1
DNMT1 DNMT1
DNMT1 MKNK2
DNMT1 RPS27A
DNMT1 TSG101
DDX56 RPS9
DDX56 TRIM25
DDX56 RPL31
DDX56 RPL34
DDX56 RPS11
DDX56 RPL18A
DDX56 RPS3A
DDX56 MYBBP1A
DDX56 HECTD1
DDX56 EIF4A3
DDX56 MRPS5
DDX56 FTSJ3
DDX56 RPS16
DDX56 RPL26
DDX56 RPL23A
DDX56 RPL32
DDX56 RPL29
DDX56 SRP14
DDX56 RPL36A
DDX56 GNL2
DDX56 MRPS34
DDX56 MRPL43
DDX56 RPL37
DDX56 MRPS14
DDX56 MRPS24
DDX56 DDX56
DDX56 SPCS2
SYNJ2 RAC1
SYNJ2 SFN
SYNJ2 ITSN2
SYNJ2 SYNJ2
TMUB1 TMEM14B
