FBXO10 CUL1
EGLN1 FKBP5
NDUFA6 NDUFS1
NDUFA6 NDUFA13
NDUFA6 UQCRC2
NDUFA6 NDUFB9
NDUFA6 NDUFB11
NDUFA6 UQCRB
NDUFA6 NDUFS4
NDUFA6 CYC1
NDUFA6 NDUFA2
NDUFA6 NDUFB5
NDUFA6 NDUFA12
NDUFA6 NDUFB10
NDUFA6 NDUFA5
NDUFA6 NDUFS3
NDUFA6 NDUFA8
NDUFA6 NDUFA9
NDUFA6 NDUFB3
NDUFA6 NDUFAF1
NDUFA6 UQCRH
NDUFA6 NDUFA7
NDUFA6 NDUFS7
NDUFA6 NDUFAB1
NDUFA6 UQCR10
NDUFA6 NDUFC2
NDUFA6 NDUFS5
NDUFA6 NDUFA3
NDUFA6 UQCRQ
NDUFA6 NDUFB7
NDUFA6 UQCRFS1
NDUFA6 NDUFV3
NDUFA6 ETFDH
NDUFA6 ATP5MF
NDUFA6 NDUFA4
NDUFA6 NDUFB6
NDUFA6 NDUFS6
NDUFA6 NDUFS2
NDUFA6 UQCRC1
NDUFA6 NDUFS8
NDUFA6 UQCR11
NDUFA6 NDUFA10
NDUFA6 PHLDA3
NDUFA6 NDUFV2
NDUFA6 NDUFA1
NDUFA6 NDUFC1
NDUFA6 NDUFB4
NDUFA6 NDUFB1
NDUFA6 NDUFV1
NDUFA6 NDUFB2
NDUFA6 NDUFA11
HRAS TP73
HRAS RAF1
HRAS RIN1
HRAS LGALS1
HRAS STEAP3
HRAS SLC12A4
HRAS CHCHD3
HRAS NDUFAF2
HRAS HRAS
HRAS BRAP
HRAS FNTA
HRAS FNTB
HRAS FHOD1
HRAS RHEB
HRAS RHOD
HRAS TTC1
HRAS PLCE1
HRAS ARAF
HRC TRDN
MYO18A ARAF
MYO18A MEF2C
MYO18A MYO18A
OBSCN ANK1
OBSCN TTN
OBSCN CALM1
OBSCN MYH2
BCKDK BCKDHA
PRMT1 YWHAG
PRMT1 PRMT1
PRMT1 DCAF8
PRMT1 SPEG
PRMT1 PRMT5
PRMT1 PSPH
PRMT1 FLII
PRMT1 THRB
PRMT1 QKI
PRMT1 KHDRBS3
PRKAG3 PRKAB2
CCDC57 USP2
CCDC57 ANKRD23
CCDC57 FAM50B
CCDC57 CCDC57
CCDC57 MEF2C
CCDC57 LINC00526
CCDC57 LZTS1
CCDC57 FH
CCDC57 TIMM44
CCDC57 BCAR3
CCDC57 TNNI1
CCDC57 KLF15
CCDC57 MYOZ3
CCDC57 MT1E
CCDC57 DCLK2
CCDC57 SNRNP35
CCDC57 KIAA0408
HADHB CDKN1A
HADHB ECH1
HADHB HSD17B10
HADHB ECHS1
HADHB SQSTM1
HADHB HADH
HADHB ANXA7
HADHB HADHA
HADHB VDAC1
HADHB UQCRC2
HADHB ACAT1
HADHB ACAD8
HADHB ACADM
HADHB ACADSB
HADHB ACADS
HADHB ACAD9
RTN4 SIRT2
RTN4 YAP1
RTN4 FXR2
RTN4 NME1-NME2
RTN4 TUBA4A
RTN4 NAPA
RTN4 UQCRC2
RTN4 RTN2
RTN4 RTN4IP1
RTN4 RTN4
RTN4 UQCRC1
AURKAIP1 MRPS18B
AURKAIP1 NRDC
AURKAIP1 MRPS7
AURKAIP1 MRPS9
AURKAIP1 MRPS35
AURKAIP1 MRPL45
AURKAIP1 MRPS10
AURKAIP1 MRPS33
AURKAIP1 MRPS24
AURKAIP1 AURKAIP1
FRMD3 TMEM201
VDAC1 NDUFS1
VDAC1 EIF3K
VDAC1 GAPDH
VDAC1 PRKN
VDAC1 YBX1
VDAC1 TTN
VDAC1 RAF1
VDAC1 HK1
VDAC1 ATP5F1C
VDAC1 ATP5F1A
VDAC1 RPL7
VDAC1 RPLP1
VDAC1 HADHA
VDAC1 ATP5F1B
VDAC1 UQCRC2
VDAC1 VDAC2
VDAC1 VDAC3
VDAC1 ATP5PO
VDAC1 NDUFA8
VDAC1 ATP1B1
VDAC1 ATP5PB
VDAC1 COX4I1
VDAC1 CYC1
VDAC1 IMMT
VDAC1 MTCH2
VDAC1 MYL12A
VDAC1 SLC25A4
VDAC1 NDUFA5
VDAC1 PDHB
VDAC1 SLC25A3
VDAC1 PRDX3
VDAC1 NDUFS3
VDAC1 PDHA1
VDAC1 TUBA4A
VDAC1 ANXA6
VDAC1 CYCS
VDAC1 VDAC1
VDAC1 NUDC
NDUFS1 NDUFB9
NDUFS1 UQCRC2
NDUFS1 ATP5F1C
NDUFS1 ATP5F1B
NDUFS1 NDUFS3
NDUFS1 NDUFA9
NDUFS1 NDUFS2
NDUFS1 NDUFV2
NDUFS1 NDUFS7
NDUFS1 NDUFV1
NDUFS1 NDUFS8
NDUFS1 NDUFA12
NDUFS1 NDUFB5
NDUFS1 NDUFB10
NDUFS1 SDHB
NDUFS1 NDUFA8
NDUFS1 MTCH2
NDUFS1 NDUFS4
NDUFS1 NDUFS5
NDUFS1 NDUFS6
NDUFS1 COX4I1
NDUFS1 CYC1
NDUFS1 NDUFA1
NDUFS1 NDUFB4
NDUFS1 NDUFA3
NDUFS1 UQCRQ
NDUFS1 NDUFA13
NDUFS1 NDUFA4
NDUFS1 UQCRB
NDUFS1 NDUFB3
NDUFS1 UQCR10
NDUFS1 UQCRFS1
NDUFS1 NDUFB6
NDUFS1 NDUFA10
NDUFS1 NDUFC1
NDUFS1 NDUFA2
NDUFS1 UQCR11
NDUFS1 NDUFB11
NDUFS1 NDUFC2
NDUFS1 NDUFAB1
NDUFS1 ETFDH
NDUFS1 UQCRH
NDUFS1 NDUFA5
NDUFS1 NDUFB2
NDUFS1 NDUFA11
NDUFS1 NDUFB7
NDUFS1 UQCRC1
NDUFS1 NDUFV3
NDUFS1 NDUFB1
NDUFS1 MDH2
NDUFS1 NDUFA7
MAPKAPK3 UBC
MAPKAPK3 HSPB1
MAPKAPK3 COPS6
PSMB6 UBE3A
PSMB6 PSMA7
PSMB6 PSMD2
PSMB6 PSMA6
PSMB6 PSMD14
PSMB6 HSPA2
PSMB6 PSMC5
PSMB6 PSMD4
PSMB6 PSMC3
PSMB6 PSMC1
PSMB6 PSMD6
PSMB6 PSMC2
PSMB6 PSMD7
PSMB6 ADRM1
PSMB6 PSMA2
PSMB6 PSMD11
PSMB6 PSMD12
PSMB6 PSMD1
PSMB6 PSMD3
PSMB6 PSMD8
PSMB6 PSMB7
PSMB6 PSMB5
PSMB6 POMP
PSMB6 TUBA4A
SFXN4 TSC22D1
LMO2 TRIM54
LMO2 LMO2
LMO2 MAPRE3
LMO2 PRKG1
LMO2 AIMP2
LMO2 SKP1
LMO2 FHL3
LMO2 NHLH2
LMO2 TAL2
LMO2 ISL1
LMO2 VEZF1
LMO2 LZTS1
LMO2 NDUFAB1
LMO2 NDUFB7
LMO2 BYSL
LMO2 VBP1
LMO2 LMOD3
LMO2 MYOZ3
LMO2 SNAPC5
LMO2 WASHC1
LMO2 EIF4EBP1
LMO2 TSEN15
ATP5MF ATP5F1C
ATP5MF ATP5F1A
ATP5MF RPLP1
ATP5MF ATP5F1B
ATP5MF ATP5IF1
ATP5MF ATP5PB
ATP5MF ATP5PO
ATP5MF ATP5F1E
ATP5MF ATP5MC1
ATP5MF ATP5PF
ATP5MF ATP5PD
ATP5MF ATP5MG
ATP5MF ATP5ME
ATP5MF ATP5F1D
EXTL1 TMEM237
EXTL1 TMEM14B
PSMD3 UBE3A
PSMD3 BAG3
PSMD3 RUVBL2
PSMD3 PSMA7
PSMD3 PSMD2
PSMD3 PSMA6
PSMD3 PSMD14
PSMD3 HSPA2
PSMD3 PSMC5
PSMD3 PSMD4
PSMD3 WDR77
PSMD3 PSMC3
PSMD3 ECPAS
PSMD3 PSMC1
PSMD3 PSMD6
PSMD3 PSMC2
PSMD3 PSMD7
PSMD3 ADRM1
PSMD3 PSMA2
PSMD3 PSMD11
PSMD3 PSMD12
PSMD3 PSMD1
PSMD3 PSMB5
PSMD3 PSMD8
PSMD3 PSMB7
PSMD3 PSMD3
PSMD3 PTP4A3
PSMD3 SLC25A3
PSMD3 TUBA4A
PSMD3 NDUFA4
PSMD3 RPL38
PSMD3 BRF2
PSMD3 TMEM14B
KLHL23 CDKN1A
KLHL23 ANXA7
BLCAP TMEM237
BLCAP TMEM14B
PSMC1 UBE3A
PSMC1 UBC
PSMC1 PRKN
PSMC1 PSMA7
PSMC1 PSMD2
PSMC1 PSMA6
PSMC1 BAG1
PSMC1 RAD23A
PSMC1 PSMD14
PSMC1 HSPA2
PSMC1 PSMC5
PSMC1 PSMD4
PSMC1 PSMC3
PSMC1 PSMB5
PSMC1 PSMD6
PSMC1 PSMC2
PSMC1 PSMD7
PSMC1 PSMA2
PSMC1 PSMD8
PSMC1 PSMD1
PSMC1 PSMD11
PSMC1 PSMD12
PSMC1 PSMB7
PSMC1 MRPS16
PSMC1 ADRM1
PSMC1 PSMC1
PSMC1 TUBA4A
PDAP1 MEF2D
PDAP1 PDGFA
KLHL29 STUB1
KLHL29 KLHL21
TTC32 TXN2
TTC32 MYOG
ZFPM2 RBBP7
RORA MYOD1
RORA COPS5
RORA PSMC5
RORA CEBPB
RORA RARB
RORA RORA
RORA NR1D1
MRPL24 MRPS22
MRPL24 MRPS18B
MRPL24 MRPL37
MRPL24 MRPS23
MRPL24 MRPL1
MRPL24 MRPS7
MRPL24 MRPS9
MRPL24 MRPL15
MRPL24 MRPS35
MRPL24 TUFM
MRPL24 MRPL12
MRPL24 MRPL27
MRPL24 MRPS16
MRPL24 MRPS10
MRPL24 MRPS33
MRPL24 MRPL45
MRPL24 MRPL40
MRPL24 MRPL39
MRPL24 MRPL41
MRPL24 MRPL53
MRPL24 MRPS18A
MRPL24 MRPS25
MRPL24 MRPS15
MRPL24 MRPL2
MRPL24 MRPS28
MRPL24 MRPL35
MRPL24 MRPL16
MRPL24 MRPL36
MRPL24 MRPL51
MRPL24 MRPL20
MRPL24 MRPL46
MRPL24 MRPL34
MRPL24 MRPL21
MRPL24 MRPL14
MRPL24 MRPS17
MRPL24 MRPS24
MRPL24 MRPS36
MRPL24 MRPL33
MRPL24 MRPL23
RBM38 MDM2
THNSL2 ZBTB16
BRAP UBC
BRAP BRAP
BRAP CNKSR1
FLII ACTC1
FLII OPTN
MAP2K6 GADD45A
MAP2K6 GADD45G
MAP2K6 MAP3K20
MAP2K6 MAPK12
MAP2K6 MAP2K6
ACAT1 HSD17B10
ACAT1 HADH
ACAT1 HADHA
ACAT1 PDHA1
BNC2 LMO1
RDX PRKCQ
SLC25A4 RUVBL2
SLC25A4 PRMT5
SLC25A4 WDR77
SLC25A4 PPID
SLC25A4 SLC25A3
SLC25A4 RPL38
TRDN RYR1
TRDN CASQ2
TRDN ASPH
ECI2 UBE3A
ECI2 ECH1
INTS11 USP2
INTS11 PPP2R1A
INTS11 HSF4
INTS11 ANXA7
INTS11 ZIC1
INTS11 FAM222B
SDHB FH
SDHB SUCLA2
SDHB NDUFB9
SDHB SDHA
SDHB NDUFV2
SDHB MRPL45
SDHB SUCLG1
SDHB SUCLG2
FRS3 KRT31
FRS3 PDLIM7
FRS3 ATP23
FRS3 FRS3
FRS3 ZNF438
FRS3 CDPF1
FRS3 C22orf39
FRS3 COPS3
FRS3 ANAPC11
FRS3 KIAA0408
MIEF2 SH3GLB1
MIEF2 ATP5PF
MRPS36 MRPS22
MRPS36 MRPS18B
MRPS36 MRPL37
MRPS36 MRPS23
MRPS36 MRPL1
MRPS36 MRPS7
MRPS36 MRPS9
MRPS36 MRPL15
MRPS36 MRPS35
MRPS36 MRPL12
MRPS36 MRPL27
MRPS36 MRPS16
MRPS36 MRPS10
MRPS36 MRPS33
MRPS36 MRPL45
MRPS36 MRPL40
MRPS36 MRPL39
MRPS36 MRPL41
MRPS36 MRPL53
MRPS36 MRPS18A
MRPS36 MRPS25
MRPS36 MRPS15
MRPS36 MRPS28
MRPS36 MRPL51
MRPS36 MRPL2
MRPS36 MRPL23
MRPS36 MRPL14
MRPS36 MRPL46
MRPS36 MRPL20
MRPS36 MRPL33
MRPS36 MRPL35
MRPS36 MRPL16
MRPS36 MRPL34
MRPS36 MRPL21
MRPS36 MRPS24
MRPS36 MRPL36
MRPS36 MRPS17
PEBP4 RAF1
UBE2D4 TRIM54
UBE2D4 UBC
UBE2D4 MUL1
UBE2D4 RNF126
UBE2D4 RNF115
UBE2D4 AMFR
UBE2D4 ZNRF1
UBE2D4 ARIH2
UBE2D4 RNF10
UBE2D4 RNF150
UBE2D4 SNURF
UBE2D4 RMND5B
MRPS16 MRPS22
MRPS16 YBX1
MRPS16 MRPS18B
MRPS16 PRMT5
MRPS16 ATP5F1C
MRPS16 RPL7
MRPS16 WDR77
MRPS16 MRPL37
MRPS16 MRPS23
MRPS16 MRPL1
MRPS16 MRPS7
MRPS16 MRPS9
MRPS16 MRPL15
MRPS16 MRPS35
MRPS16 RPL23A
MRPS16 RPL38
MRPS16 MRPL12
MRPS16 IMMT
MRPS16 RPL35
MRPS16 MRPL27
MRPS16 MRPL45
MRPS16 SLC25A3
MRPS16 MRPL40
MRPS16 MRPL39
MRPS16 MRPS33
MRPS16 MRPS25
MRPS16 MRPL35
MRPS16 MRPL41
MRPS16 MRPL51
MRPS16 MRPS24
MRPS16 MRPL36
MRPS16 MRPL33
MRPS16 MRPL34
MRPS16 MRPS18A
MRPS16 MRPL2
MRPS16 MRPL14
MRPS16 MRPS28
MRPS16 MRPL21
MRPS16 MRPS10
MRPS16 MRPL23
MRPS16 MRPS17
MRPS16 MRPL20
MRPS16 MRPL16
MRPS16 MRPS15
MRPS16 PHLDA3
MRPS16 MRPL46
MRPS16 MRPL53
RPTOR IRS1
RPTOR SQSTM1
RPTOR RHEB
RPTOR AKT1S1
RPTOR EIF4EBP1
RPTOR DEPTOR
