RHBDL2 EFNB2
GATA6 MAPK3
GATA6 HNF4A
GATA6 TFF2
SYNJ2 SFN
SYNJ2 SYNJ2BP
SYNJ2 SYNJ2
CHRNA7 SRC
CHRNA7 APP
CHRNA7 ADCY6
CCNL2 MDFI
CCNL2 CDK11A
CPD KRAS
EBAG9 REEP6
EBAG9 STX3
EBAG9 STX1A
EBAG9 MGLL
EBAG9 EBAG9
EBAG9 SLC35A1
EBAG9 ACSL5
SLC51B ASPH
SLC51B ETNK1
GALNT4 MUC1
EPHB3 AFDN
EPHB3 EPHB3
EPHB3 HPCAL1
CANX PDIA3
CANX PRKCD
CANX HSP90B1
CANX CALR
CANX LRRC59
CANX VCP
CANX GRIN1
CANX PRKCA
CANX WWOX
CANX CFTR
CANX COPB2
CANX PPP2R1A
CANX NDRG1
CANX UBXN4
CANX LMAN1
CANX RPN2
CANX ERLIN2
CANX RPN1
CANX CYC1
CANX MOGS
CANX MT-CO2
CANX EDEM3
CANX CLGN
CANX CANX
CANX TOR1AIP2
CANX ATP5PB
CANX BSG
CANX ATP5F1C
CANX STT3A
CANX SLC12A2
CANX CKAP4
CANX RRP12
CANX STT3B
CANX CHP1
CANX RRBP1
CANX HYOU1
CANX SRPRB
CANX GJB1
CANX PRKCI
CANX PRKCZ
CANX MAPK3
CANX MAPK13
CANX SSR1
CANX SERPINA1
CANX PRDX4
CANX TRPV4
CANX SLC2A1
CANX CD9
CANX TF
BCL2L14 PICK1
BCL2L14 LGALS3BP
BCL2L14 TEPSIN
LIN54 NCOR1
LIN54 TFDP2
LIN54 PRDX5
LIN54 GOLGA4
KLF3 CTBP2
KLF3 CTBP1
KLF3 TRAF2
CCDC57 ZFC3H1
CCDC57 EIF4G1
CCDC57 TRIM29
CCDC57 CCDC120
CCDC57 ZNF417
CCDC57 SFI1
CCDC57 CCDC57
CCDC57 CBX8
CCDC57 CDC20B
CCDC57 NAPRT
CCDC57 DTX2
CCDC57 ABLIM1
CCDC57 TIMM44
CCDC57 RASD1
CCDC57 BCAR3
CCDC57 RUSC1
CCDC57 MT1E
CCDC57 ZNF552
AURKAIP1 AURKA
AURKAIP1 MRPS35
