RHBDL2 EFNB2
GATA6 MAPK3
GATA6 HNF4A
SYNJ2 SH3KBP1
SYNJ2 SFN
SYNJ2 SYNJ2
TMUB1 GOLM1
RPL8 NAE1
RPL8 FGFR3
RPL8 RPL31
RPL8 YBX1
RPL8 HSP90AA1
RPL8 RPL28
RPL8 TOP1
RPL8 RPLP2
RPL8 HNRNPM
RPL8 YWHAH
RPL8 CDC37
RPL8 RPS11
RPL8 RPS8
RPL8 RPL36
RPL8 PPP1CC
RPL8 RPL38
RPL8 RPL27A
RPL8 RPL10L
RPL8 RPL13A
RPL8 RPL37A
RPL8 RC3H1
RPL8 UPF1
RPL8 RPL36A
RPL8 RPS24
RPL8 RPL29
RPL8 MAP3K14
RPL8 ATAD3B
RPL8 DDX21
RPL8 RPS4Y1
RPL8 RPS29
RPL8 DHX15
RPL8 RPS19
RPL8 EIF4A3
RPL8 SRPK1
RPL8 RPL35
RPL8 RPL39
RPL8 RPS21
RPL8 GTPBP4
RPL8 RPL41
RPL8 DUSP23
RPL8 RPS15
RPL8 ZNF326
RPL8 SCYL2
RPL8 RPS27L
RPL8 RPL37
RPL8 RPS18
RPL8 C11orf49
CHRNA7 SRC
CHRNA7 APP
CHRNA7 PPP1CC
CHRNA7 ADCY6
NDUFA6 NDUFA13
NDUFA6 MT-ND2
NDUFA6 NDUFB9
NDUFA6 NDUFS4
NDUFA6 CYC1
NDUFA6 NDUFA2
NDUFA6 NDUFA12
NDUFA6 NDUFB10
NDUFA6 NDUFA5
NDUFA6 NDUFB3
NDUFA6 UQCRH
NDUFA6 NDUFS7
NDUFA6 UQCR10
NDUFA6 MT-ND6
NDUFA6 NDUFA3
NDUFA6 UQCRQ
NDUFA6 MT-ND4L
NDUFA6 NDUFB7
NDUFA6 NDUFV3
NDUFA6 ETFDH
NDUFA6 ATP5MF
NDUFA6 MT-CYB
NDUFA6 MT-ND1
NDUFA6 NDUFS6
NDUFA6 UQCRC1
NDUFA6 UQCR11
NDUFA6 NDUFA1
NDUFA6 NDUFC1
NDUFA6 NDUFB4
NDUFA6 NDUFB1
NDUFA6 NDUFB2
CCNL2 POLR2A
CCNL2 ZBTB7B
