NKIRAS2 SMN1
ORC2 MCM3
ORC2 CBX5
ORC2 ORC2
ORC2 ORC4
ORC2 ORC6
ORC2 FXR1
ORC2 MCM7
ORC2 HAUS1
ORC2 TERF2IP
ORC2 RNF8
ORC2 HMGA1
PLEKHA3 MORF4L1
PLEKHA3 PLEKHA3
HDAC9 NCOR1
HDAC9 SUMO2
HDAC9 YWHAG
HDAC9 MEF2A
HDAC9 CBX5
HDAC9 SUV39H1
HDAC9 YWHAE
HDAC9 NRIP1
HDAC9 HDAC9
WBP2NL FMR1
NDUFA6 NDUFS1
NDUFA6 NDUFA13
NDUFA6 BAG6
NDUFA6 TBPL1
NDUFA6 NDUFB9
NDUFA6 NDUFB11
NDUFA6 UQCRB
NDUFA6 CYC1
NDUFA6 NDUFA2
NDUFA6 NDUFB5
NDUFA6 NDUFA12
NDUFA6 NDUFB10
NDUFA6 NDUFA5
NDUFA6 NDUFA8
NDUFA6 NDUFA9
NDUFA6 NDUFB3
NDUFA6 NDUFAF1
NDUFA6 UQCRH
NDUFA6 NDUFA7
NDUFA6 NDUFS7
NDUFA6 UQCR10
NDUFA6 NDUFC2
NDUFA6 NDUFS5
NDUFA6 NDUFA3
NDUFA6 UQCRQ
NDUFA6 MT-ND4L
NDUFA6 NDUFB7
NDUFA6 UQCRFS1
NDUFA6 NDUFV3
NDUFA6 ATP5MF
NDUFA6 MT-CYB
NDUFA6 NDUFA4
NDUFA6 NDUFB6
NDUFA6 NDUFS6
NDUFA6 NDUFS2
NDUFA6 UQCRC1
NDUFA6 NDUFS8
NDUFA6 UQCR11
NDUFA6 NDUFA10
NDUFA6 PHLDA3
NDUFA6 NDUFV2
NDUFA6 NDUFB8
NDUFA6 NDUFA1
NDUFA6 NDUFC1
NDUFA6 NDUFB4
NDUFA6 NDUFB1
NDUFA6 NDUFV1
NDUFA6 NDUFB2
NDUFA6 NDUFA11
ZNF428 BANF1
HRAS KRAS
HRAS CAV1
HRAS RALGDS
HRAS EPB41L1
HRAS RAP1GDS1
HRAS SNX17
HRAS PDE6D
HRAS RGL2
HRAS NF1
HRAS PIK3R1
HRAS RASA1
HRAS SNRPE
HRAS LZTR1
HRAS PI4KA
HRAS STX3
HRAS MARCKSL1
HRAS VAMP3
HRAS SLC4A7
HRAS PKP4
HRAS LRRC57
HRAS SLC7A11
HRAS LAMTOR1
HRAS SNX3
HRAS NDRG3
HRAS CDC42EP4
HRAS SLC1A3
HRAS FLOT1
HRAS HRAS
HRAS VAMP2
HRAS PRKCZ
HRAS TIAM1
HRAS RAPGEF1
HRAS RHEB
HRAS RGR
HRAS DEAF1
HRAS RASSF2
TSG101 RNF111
TSG101 NDUFA13
TSG101 HGS
TSG101 VPS37A
TSG101 VPS28
TSG101 SNF8
TSG101 VPS36
TSG101 TSG101
TSG101 TAX1BP1
TSG101 HAUS1
TSG101 CHMP5
TSG101 TNIP2
TSG101 PIGQ
TSG101 UBB
TSG101 ENO1
TSG101 KIF5A
TSG101 ACAD8
TSG101 NELFCD
TSG101 VPS37D
TSG101 VRK3
TSG101 TRIM23
TSG101 LAP3
TSG101 COPE
TSG101 NT5DC2
TSG101 VPS11
TSG101 EIF3L
TSG101 DCTN2
TSG101 TRIM46
TSG101 PDCD6
TSG101 COPS6
TSG101 AJUBA
TSG101 CEP63
TSG101 CBY1
TSG101 KIAA1328
TSG101 BRPF3
BBS9 BBS7
NOP53 CCDC136
NOP53 NF2
NOP53 EIF6
NOP53 NOP53
BICD1 PCM1
BICD1 AP1G1
BICD1 DYNC1I1
BICD1 DCTN2
BICD1 CPNE4
BICD1 NIN
KLF3 EHMT2
KLF3 CTBP2
KLF3 DVL3
KLF3 OTX2
ATG16L1 HSPA4
ATG16L1 AP2M1
ATG16L1 CCT3
ATG16L1 RAB33A
ATG16L1 ATG13
ATG16L1 ATG16L1
ATG16L1 GABARAP
ATG16L1 GABARAPL2
ATG16L1 GABARAPL1
PRMT1 YWHAG
PRMT1 CARM1
PRMT1 HABP4
PRMT1 NRIP1
PRMT1 KHDRBS1
PRMT1 FBL
PRMT1 PRMT1
PRMT1 ILF3
PRMT1 CIRBP
PRMT1 RNF187
PRMT1 SPEG
PRMT1 SMURF2
PRMT1 LSM14A
PRMT1 EIF1B
PRMT1 TRAF6
PRMT1 TUBA1A
PRMT1 C1QBP
PRMT1 LRIF1
PRMT1 WDR33
PRMT1 IDH3B
PRMT1 S100A8
PRMT1 IGSF21
PRMT1 NOL4
PSMA1 MAPK1
PSMA1 EHMT2
PSMA1 KCTD1
PSMA1 TRAF6
PSMA1 CCDC136
PSMA1 CDKN2D
PSMA1 RFC2
PSMA1 VIM
PSMA1 TCF4
PSMA1 MTUS2
PSMA1 ABI2
PSMA1 MRFAP1L1
PSMA1 CRX
PSMA1 TSC22D4
PSMA1 MSANTD4
PSMA1 COG6
PSMA1 PNMA2
PSMA1 MAPRE3
PSMA1 HEXIM2
PSMA1 IPO13
PSMA1 TRIM23
PSMA1 PSMD14
PSMA1 PSMC5
PSMA1 IFT20
PSMA1 SSX2IP
PSMA1 FKBP8
PSMA1 PSMC3
PSMA1 CCDC85B
PSMA1 RAD54B
PSMA1 GABARAPL2
PSMA1 PSMC1
PSMA1 PSMD13
PSMA1 PSMB5
PSMA1 PSMA2
PSMA1 PSMA1
PSMA1 POMP
PSMA1 PSMB3
PSMA1 PSMB6
PSMA1 PSMD12
PSMA1 PSMG4
PSMA1 PSMG1
PSMA1 RBM28
PSMA1 TNR
PSMA1 HSF2BP
PSMA1 COG4
PSMA1 CABP5
PSMA1 YPEL5
PSMA1 CHMP1A
PSMA1 PRPH
PSMA1 ZMYND19
PSMA1 PCBD1
PSMA1 VMAC
PSMA1 C22orf39
POC1A CCT3
POC1A PDCL
RTN4 TRAF6
RTN4 WWP1
RTN4 CRMP1
RTN4 ARL6IP1
RTN4 RTN1
RTN4 RTN2
RTN4 KCNA1
RTN4 CNTN1
RTN4 SPG21
RTN4 RAB33A
RTN4 RTN4
RTN4 ZFYVE21
RTN4 UQCRC1
DRD4 KCNJ3
AURKAIP1 MRPS18B
AURKAIP1 DAP3
AURKAIP1 MRPS5
AURKAIP1 MRPS35
AURKAIP1 AJUBA
AURKAIP1 MRPS33
AURKAIP1 AURKAIP1
CDK14 YWHAQ
CDK14 CCNY
CDK14 CDK14
CDK14 YWHAE
CDK14 BMPR1B
AHCY APPBP2
AHCY TRAF6
AHCY ANKRD40
AHCY EIF1B
AHCY AHCY
FANK1 LZTR1
LHX1 KANK2
LHX1 OTX2
ZNF483 ZNF24
ZNF483 CRX
VDAC1 NDUFS1
VDAC1 GAPDH
VDAC1 CSNK2B
VDAC1 MAPK3
VDAC1 TRAF6
VDAC1 ENO1
VDAC1 YBX1
VDAC1 RPSA
VDAC1 HSP90AA1
VDAC1 RPS7
VDAC1 VIM
VDAC1 TTN
VDAC1 TUBA1A
VDAC1 KIF5B
VDAC1 HK1
VDAC1 ATP5F1C
VDAC1 MT-CO2
VDAC1 ATP5F1A
VDAC1 HSPA9
VDAC1 RPS3A
VDAC1 MYL6
VDAC1 RPL22
VDAC1 RAN
VDAC1 RPS10
VDAC1 EIF6
VDAC1 GABARAPL2
VDAC1 RAB2A
VDAC1 VDAC2
VDAC1 VDAC3
VDAC1 ATP5PO
VDAC1 NDUFA8
VDAC1 ATP6V1A
VDAC1 COX4I1
VDAC1 CYC1
VDAC1 SLC25A4
VDAC1 SFXN1
VDAC1 NDUFA5
VDAC1 PDHA1
VDAC1 EIF4A2
VDAC1 TNPO1
VDAC1 CYCS
VDAC1 VDAC1
VDAC1 NUDC
VDAC1 DYNLT3
VDAC1 ACAT2
VDAC1 CKMT1A
VDAC1 CKMT1B
RBM10 FBL
RBM10 YBX1
RBM10 RPL3
RBM10 RUVBL1
RBM10 ATN1
RBM10 PHB2
RBM10 ATP5F1C
RBM10 PTBP2
RBM10 SNRPC
RBM10 U2SURP
RBM10 RBM10
RBM10 IK
RBM10 DHX38
RBM10 RPS5
RBM10 DHX30
RBM10 AGO4
RBM10 RPS3A
RBM10 NDUFA4
RBM10 CMSS1
RBM10 RPL38
RBM10 RPL26
RBM10 IPO9
RBM10 HSPA9
RBM10 ATP1A3
RBM10 C1QBP
RBM10 RPL27A
