RNF39 RABEP1
GATA6 MAPK3
GATA6 HNF4A
SYNJ2 SFN
SYNJ2 SYNJ2
CHRNA7 SRC
CHRNA7 ADCY6
CCNL2 POLR2A
CCNL2 ZBTB7B
CCNL2 DYRK1A
CCNL2 CDK11B
CCNL2 SRSF2
CCNL2 CDK11A
PRDM10 REL
SPINDOC RC3H1
EPHB3 AFDN
EPHB3 EPHB3
EPHB3 HPCAL1
RGS2 COPB1
RGS2 ARFGAP1
RGS2 UBC
RGS2 ZBTB48
RGS2 PRKCA
RGS2 PRKG1
RGS2 DDR1
RGS2 GDE1
RGS2 IBTK
RGS2 PPP1R9A
RGS2 CEP126
RGS2 TSPAN15
BCL2L14 PICK1
BCL2L14 LGALS3BP
BCL2L14 TRAPPC9
BCL2L14 TEPSIN
KLF3 CTBP2
KLF3 TRAF2
KLF3 DVL3
MYO18A JUN
MYO18A ATXN1
MYO18A CDC42BPA
MYO18A MYO18A
MYO18A CDC42BPB
CCDC57 ZFC3H1
CCDC57 NUMA1
CCDC57 USP15
CCDC57 CCDC120
CCDC57 ROBO3
CCDC57 SFI1
CCDC57 CCDC57
CCDC57 CBX8
CCDC57 NAPRT
CCDC57 PRR3
CCDC57 GPBP1
CCDC57 TXLNA
CCDC57 ABLIM1
CCDC57 TIMM44
CCDC57 RASD1
CCDC57 ZNF436
CCDC57 RUSC1
CCDC57 HDX
CCDC57 PRPF18
CCDC57 ZNF552
CCDC57 INCA1
EPS8 SRC
EPS8 DVL1
EPS8 BAIAP2
EPS8 HOOK2
EPS8 EPS8
EPS8 SHB
EPS8 BAIAP2L1
EPS8 USP6NL
EPS8 MYO15A
EPS8 TSPYL4
EPS8 INPP5J
EPS8 KRT20
TSNARE1 STX1A
TSNARE1 TMEM51
TSNARE1 TMEM86B
TSNARE1 CYB561
RBM10 SRC
RBM10 GNL3
RBM10 RPL31
RBM10 SF3B1
RBM10 DHX15
RBM10 RBM10
RBM10 SSR4
RBM10 AGO2
RBM10 RPL38
RBM10 SREK1
RBM10 BEND7
HMGCR UBC
HMGCR INSIG1
HMGCR HMGCR
SOS2 SRC
SOS2 YWHAZ
SOS2 HOOK2
