HOXB8 PBX2
DDIT4 LRIF1
USP39 TP53
USP39 CDC5L
USP39 PRPF19
USP39 DDX24
USP39 ZRANB2
USP39 SNRNP70
USP39 SNW1
USP39 PA2G4
USP39 SYF2
USP39 TFIP11
USP39 COPRS
USP39 MFAP1
USP39 SNRPB
USP39 PRPF31
USP39 SRSF9
USP39 DDX41
USP39 PPIE
USP39 XAB2
USP39 BUD31
USP39 SNRNP40
USP39 DDX23
USP39 SNRPA1
USP39 PLRG1
USP39 NUDT21
USP39 PAXBP1
USP39 THOC7
USP39 SNRPA
USP39 TRIR
USP39 SF3A3
USP39 SNRPC
USP39 PRPF4
USP39 TXNL4A
USP39 CD2BP2
USP39 SNU13
USP39 TSR2
USP39 LSM2
USP39 LSM4
USP39 NCBP2
USP39 LSM8
USP39 SF3B4
USP39 SF3B6
USP39 PUF60
USP39 SLU7
USP39 CWC15
USP39 CIRBP
USP39 SNRNP27
USP39 SMNDC1
USP39 SNRPB2
USP39 MRM3
USP39 PPIL3
USP39 NOC3L
USP39 DNAJC8
USP39 RRP8
USP39 TRMT10C
USP39 PPIL2
ORC2 RPA2
ORC2 XRCC6
ORC2 CDC5L
ORC2 XRCC5
ORC2 TERF2
ORC2 CBX5
ORC2 ORC2
ORC2 ORC4
ORC2 FXR1
ORC2 TERF1
ORC2 HMGA1
PLEKHA3 MORF4L1
PLEKHA3 MRPL45
PLEKHA3 PLEKHA3
TMUB1 ERLIN2
TMUB1 TMEM14B
TMUB1 TMBIM6
RPL8 RPL11
RPL8 TP53
RPL8 NPM1
RPL8 PIAS1
RPL8 EEF1A1
RPL8 GNL3
RPL8 RPS9
RPL8 NAE1
RPL8 UBE2M
RPL8 CUL2
RPL8 LUC7L2
RPL8 PCNA
RPL8 RPS6KB2
RPL8 ILF2
RPL8 FBL
RPL8 MRPS22
RPL8 RPL31
RPL8 YBX1
RPL8 RPSA
RPL8 EBNA1BP2
RPL8 RPL21
RPL8 RPL28
RPL8 RPL3
RPL8 RPL34
RPL8 RPS27
RPL8 RPS7
RPL8 RPS13
RPL8 TOP1
RPL8 HSP90AB1
RPL8 RPLP2
RPL8 HNRNPA1
RPL8 PA2G4
RPL8 PHB
RPL8 PSMD2
RPL8 RPS4X
RPL8 SSRP1
RPL8 FXR1
RPL8 CDC42
RPL8 MCF2L
RPL8 PHB2
RPL8 LARP7
RPL8 ATP5F1C
RPL8 CDC37
RPL8 RPS11
RPL8 RPL5
RPL8 RPL30
RPL8 RPL24
RPL8 RPL7A
RPL8 EEF2
RPL8 RPS8
RPL8 RPL10A
RPL8 RPL4
